Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","809","Abaca, cañamo de manila","2009","2009","toneladas","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","809","Abaca, cañamo de manila","2010","2010","toneladas","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","809","Abaca, cañamo de manila","2011","2011","toneladas","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","809","Abaca, cañamo de manila","2012","2012","toneladas","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","809","Abaca, cañamo de manila","2013","2013","toneladas","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","809","Abaca, cañamo de manila","2009","2009","1000 US$","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","809","Abaca, cañamo de manila","2010","2010","1000 US$","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","809","Abaca, cañamo de manila","2011","2011","1000 US$","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","809","Abaca, cañamo de manila","2012","2012","1000 US$","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","809","Abaca, cañamo de manila","2013","2013","1000 US$","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2009","2009","toneladas","0","*","Cifras no oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2010","2010","toneladas","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2011","2011","toneladas","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2012","2012","toneladas","1009","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2013","2013","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2014","2014","toneladas","1","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2015","2015","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2016","2016","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2017","2017","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2018","2018","toneladas","1","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","331","Aceite, algodón","2019","2019","toneladas","1","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2009","2009","1000 US$","0","*","Cifras no oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2010","2010","1000 US$","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2011","2011","1000 US$","0","F","Estimación FAO"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2012","2012","1000 US$","1097","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2013","2013","1000 US$","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2014","2014","1000 US$","4","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2015","2015","1000 US$","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2016","2016","1000 US$","3","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2017","2017","1000 US$","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2018","2018","1000 US$","11","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","331","Aceite, algodón","2019","2019","1000 US$","11","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2009","2009","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2010","2010","toneladas","7","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2011","2011","toneladas","1","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2012","2012","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2013","2013","toneladas","0","*","Cifras no oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2014","2014","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2015","2015","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2016","2016","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2017","2017","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2018","2018","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","331","Aceite, algodón","2019","2019","toneladas","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2009","2009","1000 US$","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2010","2010","1000 US$","19","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2011","2011","1000 US$","3","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2012","2012","1000 US$","1","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2013","2013","1000 US$","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2014","2014","1000 US$","0","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2015","2015","1000 US$","1","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2016","2016","1000 US$","1","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2017","2017","1000 US$","1","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2018","2018","1000 US$","1","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","331","Aceite, algodón","2019","2019","1000 US$","1","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2009","2009","toneladas","688","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2010","2010","toneladas","2469","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2011","2011","toneladas","1515","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2012","2012","toneladas","1279","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2013","2013","toneladas","3777","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2014","2014","toneladas","4695","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2015","2015","toneladas","8839","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2016","2016","toneladas","11509","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2017","2017","toneladas","12565","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2018","2018","toneladas","18859","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5610","Importaciones - Cantidad","258","Aceite, almendra de palma","2019","2019","toneladas","13235","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2009","2009","1000 US$","423","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2010","2010","1000 US$","2862","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2011","2011","1000 US$","2920","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2012","2012","1000 US$","1805","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2013","2013","1000 US$","3929","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2014","2014","1000 US$","5831","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2015","2015","1000 US$","9019","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2016","2016","1000 US$","15025","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2017","2017","1000 US$","17277","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2018","2018","1000 US$","16993","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5622","Importaciones Valor","258","Aceite, almendra de palma","2019","2019","1000 US$","8310","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2009","2009","toneladas","33872","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2010","2010","toneladas","34797","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2011","2011","toneladas","41605","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2012","2012","toneladas","46726","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2013","2013","toneladas","52748","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2014","2014","toneladas","59101","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2015","2015","toneladas","76242","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2016","2016","toneladas","62994","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2017","2017","toneladas","68108","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2018","2018","toneladas","80952","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5910","Exportaciones - Canditad","258","Aceite, almendra de palma","2019","2019","toneladas","86609","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","258","Aceite, almendra de palma","2009","2009","1000 US$","22122","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","258","Aceite, almendra de palma","2010","2010","1000 US$","34204","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","258","Aceite, almendra de palma","2011","2011","1000 US$","69022","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","258","Aceite, almendra de palma","2012","2012","1000 US$","56170","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","258","Aceite, almendra de palma","2013","2013","1000 US$","44176","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","258","Aceite, almendra de palma","2014","2014","1000 US$","68434","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","258","Aceite, almendra de palma","2015","2015","1000 US$","68196","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","258","Aceite, almendra de palma","2016","2016","1000 US$","70677","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","44","Colombia","5922","Exportaciones Valor","258","Aceite, almendra de palma","2017","2017","1000 US$","84453","","Datos oficiales"
